judul,link
Seknas Fitra: Makan Bergizi Gratis Belum Dongkrak Pertumbuhan Ekonomi,https://www.tempo.co/ekonomi/seknas-fitra-makan-bergizi-gratis-belum-dongkrak-pertumbuhan-ekonomi-1533866
"Hingga 21 Mei, Anggaran Makan Bergizi Gratis Sudah Cair Rp 3 Triliun",https://www.tempo.co/ekonomi/hingga-21-mei-anggaran-makan-bergizi-gratis-sudah-cair-rp-3-triliun-1523916
Korban Keracunan MBG Lebih Besar dari Klaim Prabowo,https://www.tempo.co/politik/korban-keracunan-mbg-lebih-besar-dari-klaim-prabowo-1523873
"Sejumlah Titik Kritis dalam Program MBG, Menurut BPOM",https://www.tempo.co/politik/sejumlah-titik-kritis-dalam-program-mbg-menurut-bpom-1523799
Bos BGN Membantah Raffi Ahmad Kelola 300 Dapur Makan Bergizi Gratis,https://www.tempo.co/ekonomi/bos-bgn-membantah-raffi-ahmad-kelola-300-dapur-makan-bergizi-gratis-1513999
Sekjen Kemendagri Instruksikan Percepatan Lahan MBG,https://www.tempo.co/info-tempo/sekjen-kemendagri-instruksikan-percepatan-lahan-mbg-1513993
"Badan Gizi Nasional jadi Instansi dengan Pagu Anggaran Terbesar di 2026, Kelola Rp 217,8 Triliun",https://www.tempo.co/ekonomi/badan-gizi-nasional-jadi-instansi-dengan-pagu-anggaran-terbesar-di-2026-kelola-rp-217-8-triliun-1513839
BGN Tambah 294 SPPG untuk Makan Bergizi Gratis pada 29 Mei,https://www.tempo.co/politik/bgn-tambah-294-sppg-untuk-makan-bergizi-gratis-pada-29-mei-1503905
REI: Program 3 Juta Rumah Dukung Efektivitas Makan Bergizi Gratis,https://www.tempo.co/ekonomi/rei-program-3-juta-rumah-dukung-efektivitas-makan-bergizi-gratis-1494038
Kata 'Hanya' bagi Prabowo Subianto,https://www.tempo.co/kolom/keracunan-mbg-prabowo-subianto--1472068
"Belum Sepekan Prabowo Canangkan Target Zero Accident, Keracunan Makanan MBG Terulang",https://www.tempo.co/politik/belum-sepekan-prabowo-canangkan-target-zero-accident-keracunan-makanan-mbg-terulang--1463710
3 Penyebab Keracunan Makanan di Program Makan Bergizi Gratis Versi BPOM,https://www.tempo.co/politik/3-penyebab-keracunan-makanan-di-program-makan-bergizi-gratis-versi-bpom-1454012
Kata Badan Gizi Soal Belum Melibatkan BPOM di Makan Bergizi Gratis,https://www.tempo.co/politik/kata-badan-gizi-soal-belum-melibatkan-bpom-di-makan-bergizi-gratis-1444242
BPOM Belum Dilibatkan Mengawasi Produksi Makan Bergizi Gratis,https://www.tempo.co/video/arsip/bpom-belum-dilibatkan-mengawasi-produksi-makan-bergizi-gratis-1444198
BPOM Catat 17 Kejadian Luar Biasa Kasus Keracunan MBG sejak Januari,https://www.tempo.co/politik/bpom-catat-17-kejadian-luar-biasa-kasus-keracunan-mbg-sejak-januari-1444155
BPOM Ungkap Penyebab Keracunan pada Menu MBG,https://www.tempo.co/ekonomi/bpom-ungkap-penyebab-keracunan-pada-menu-mbg-1444010
Desa Panongan Jadi Percontohan Nasional BUMDes Pengelola Dapur MBG,https://www.tempo.co/ekonomi/desa-panongan-jadi-percontohan-nasional-bumdes-pengelola-dapur-mbg-1434098
Ini Penyebab Keracunan Makan Bergizi Gratis di Bogor,https://www.tempo.co/politik/ini-penyebab-keracunan-makan-bergizi-gratis-di-bogor--1433980
BGN Bilang Tanggung Biaya Pengobatan Siswa Keracunan MBG di Bogor,https://www.tempo.co/politik/bgn-bilang-tanggung-biaya-pengobatan-siswa-keracunan-mbg-di-bogor-1424104
BGN Klaim Program MBG bakal Membuka 90 Ribu Lapangan Kerja untuk Sarjana,https://www.tempo.co/ekonomi/bgn-klaim-program-mbg-bakal-membuka-90-ribu-lapangan-kerja-untuk-sarjana-1424103
Badan Gizi Kaji Pemberian Asuransi Bagi Korban Keracunan Makan Bergizi Gratis,https://www.tempo.co/politik/badan-gizi-kaji-pemberian-asuransi-bagi-korban-keracunan-makan-bergizi-gratis-1394389
Zulhas Sebut Tata Kelola Makan Bergizi Gratis Bakal Diperbaiki: Bidik Nol Insiden,https://www.tempo.co/ekonomi/zulhas-sebut-tata-kelola-makan-bergizi-gratis-bakal-diperbaiki-bidik-nol-insiden-1394348
"Dugaan Penggelapan Dana MBG, Pihak Dapur Klaim Selalu Setor Bon Belanja",https://www.tempo.co/hukum/dugaan-penggelapan-dana-mbg-pihak-dapur-klaim-selalu-setor-bon-belanja-1394277
"Zulhas Klaim Angka Keracunan Makan Bergizi Gratis Kecil: 1-2 Orang dari 3,4 Juta",https://www.tempo.co/ekonomi/zulhas-klaim-angka-keracunan-makan-bergizi-gratis-kecil-1-2-orang-dari-3-4-juta-1384522
Evaluasi Proyek Makan Bergizi Gratis. Dari Mana Mulainya?,https://www.tempo.co/kolom/evaluasi-makan-bergizi-gratis-1382406
Lenis Kogoya Klaim Penolakan MBG di Papua Dipicu Isu Hoaks,https://www.tempo.co/politik/lenis-kogoya-klaim-penolakan-mbg-di-papua-dipicu-isu-hoaks-1374573
Soal Uji Organoleptik yang Diwajibkan BGN untuk Cegah Keracunan Makanan MBG Terulang,https://www.tempo.co/gaya-hidup/soal-uji-organoleptik-yang-diwajibkan-bgn-untuk-cegah-keracunan-makanan-mbg-terulang-1374484
Kasus Keracunan Makanan MBG dan Respons Prabowo Soal Target Zero Accident,https://www.tempo.co/politik/kasus-keracunan-makanan-mbg-dan-respons-prabowo-soal-target-zero-accident-1374467
Mitra Dapur Makan Bergizi Gratis Kalibata Siap Konfrontasi dengan Yayasan,https://www.tempo.co/hukum/mitra-dapur-makan-bergizi-gratis-kalibata-siap-konfrontasi-dengan-yayasan-1374438
Berita Terpopuler Nasional: Bill Gates Tertarik Makan Bergizi Gratis hingga Peluang Disahkannya RUU Perampasan Aset,https://www.tempo.co/politik/berita-terpopuler-nasional-bill-gates-tertarik-makan-bergizi-gratis-hingga-peluang-disahkannya-ruu-perampasan-aset-1372111
Akuntabilitas Kunci Keberhasilan Makan Bergizi Gratis,https://www.tempo.co/kolom/akuntabilitasi-makan-bergizi-gratis-1372086
"Kepala BGN Hapus Sistem Reimburse untuk Dapur MBG, Ini Penggantinya",https://www.tempo.co/ekonomi/kepala-bgn-hapus-sistem-reimburse-untuk-dapur-mbg-ini-penggantinya-1364460
Prabowo dan Bill Gates Tinjau Program Makan Bergizi Gratis di SD Negeri ,https://www.tempo.co/video/arsip/prabowo-dan-bill-gates-tinjau-program-makan-bergizi-gratis-di-sd-negeri--1364450
Alasan Bill Gates Terkesan dengan Program Makan Bergizi Gratis,https://www.tempo.co/politik/alasan-bill-gates-terkesan-dengan-program-makan-bergizi-gratis-1364355
"Prabowo soal Keracunan MBG, dari Siswa Tak Cuci Tangan hingga Tak Pakai Sendok",https://www.tempo.co/ekonomi/prabowo-soal-keracunan-mbg-dari-siswa-tak-cuci-tangan-hingga-tak-pakai-sendok-1364281
"Temui Bill Gates, Prabowo Didampingi Sejumlah Konglomerat Indonesia",https://www.tempo.co/politik/temui-bill-gates-prabowo-didampingi-sejumlah-konglomerat-indonesia-1364267
"Presiden Prabowo Akan Terima Bill Gates di Istana Hari ini, Bahas MBG",https://www.tempo.co/politik/presiden-prabowo-akan-terima-bill-gates-di-istana-hari-ini-bahas-mbg-1364217
"Berkukuh tidak Tilap Dana Makan Bergizi Gratis, Yayasan MBN: Laporan Polisi Berlebihan",https://www.tempo.co/hukum/berkukuh-tidak-tilap-dana-makan-bergizi-gratis-yayasan-mbn-laporan-polisi-berlebihan-1361291
BGN akan Alokasikan Rp 6 Triliun untuk Bangun 1.542 SPPG Makan Bergizi Gratis,https://www.tempo.co/ekonomi/bgn-akan-alokasikan-rp-6-triliun-untuk-bangun-1-542-sppg-makan-bergizi-gratis-1354482
